iter	RMSE
0	0.4853992845
1	0.4749757309
2	0.465080978
3	0.4556158862
4	0.4429443878
5	0.4325221773
6	0.4221363184
7	0.412233336
8	0.402237764
9	0.3971240347
10	0.3888973675
11	0.3812711826
12	0.3726125642
13	0.3673495997
14	0.360777794
15	0.3536991945
16	0.3468674517
17	0.3426630999
18	0.3373989683
19	0.3320665466
20	0.3276798876
21	0.3229430949
22	0.3182143391
23	0.3142946851
24	0.3103378089
25	0.3063715089
26	0.3038525314
27	0.3010883422
28	0.2966179556
29	0.2927292939
30	0.2888757602
31	0.2864819181
32	0.2839370438
33	0.2813788227
34	0.2797119712
35	0.27711233
36	0.273937596
37	0.2710223453
38	0.2690937075
39	0.2666171574
40	0.2646778606
41	0.2623000641
42	0.2602857113
43	0.2582255763
44	0.2559491099
45	0.2544873159
46	0.2536688891
47	0.2525623315
48	0.2507239654
49	0.2492630324
50	0.2480694671
51	0.2472402123
52	0.2455069358
53	0.2442136979
54	0.2427173042
55	0.2419098455
56	0.2411546385
57	0.2397064786
58	0.2383916039
59	0.2368049332
60	0.2345541057
61	0.2331024944
62	0.2313363117
63	0.2299847361
64	0.228588927
65	0.2274984339
66	0.2254599832
67	0.2245862101
68	0.2238232446
69	0.221956202
70	0.2204814028
71	0.2200066682
72	0.218614849
73	0.2174031675
74	0.2153480507
75	0.2143679189
76	0.2135488385
77	0.2131698032
78	0.2123129471
79	0.2104248247
80	0.2092744784
81	0.2079579158
82	0.2065813057
83	0.2049732575
84	0.2042700418
85	0.2028795427
86	0.2020702847
87	0.2013752642
88	0.2005011639
89	0.1999890948
90	0.1993229989
91	0.1983369619
92	0.1972895835
93	0.1963772857
94	0.1949695206
95	0.194484225
96	0.1934714343
97	0.1931621426
98	0.190870062
99	0.1897580953
100	0.1888375627
101	0.1868527723
102	0.1862059455
103	0.1850504898
104	0.1845971778
105	0.1838064378
106	0.1826699711
107	0.1820480944
108	0.1807244609
109	0.1783448137
110	0.1778164887
111	0.1772642295
112	0.1758876284
113	0.1750578358
114	0.1743222893
115	0.1733485724
116	0.1728935948
117	0.1718968935
118	0.1715220466
119	0.1703633874
120	0.1695996779
121	0.1682215464
122	0.1673599191
123	0.1665450076
124	0.1651929685
125	0.1647603929
126	0.1640610948
127	0.1636610192
128	0.162737566
129	0.1619777491
130	0.1611864423
131	0.1607690029
132	0.1602245518
133	0.1589878007
134	0.1580799082
135	0.1572918013
136	0.1566863883
137	0.1560830537
138	0.154804461
139	0.1541939012
140	0.1539067295
141	0.1533892701
142	0.1520163796
143	0.1513903702
144	0.1510493981
145	0.1500240302
146	0.1494897449
147	0.1489601239
148	0.1478110741
149	0.1469378779
150	0.1465910969
151	0.1454260293
152	0.1447451246
153	0.1436202768
154	0.1434468923
155	0.1427288362
156	0.14205034
157	0.1415637271
158	0.1410384929
159	0.1403727554
160	0.1397017418
161	0.1392616982
162	0.1389680883
163	0.1382437084
164	0.1375817278
165	0.1368404002
166	0.1366347089
167	0.1352631701
168	0.1345907375
169	0.1340679504
170	0.1334355186
171	0.1327655805
172	0.1319347638
173	0.1308998698
174	0.1302749392
175	0.1288292808
176	0.1280032931
177	0.127214683
178	0.1269297754
179	0.1263190226
180	0.1258384517
181	0.1254113532
182	0.1247447851
183	0.1242094495
184	0.1228785788
185	0.1224828272
186	0.1217907728
187	0.1213722192
188	0.1209038878
189	0.1206182123
190	0.1201873966
191	0.1195640868
192	0.1193369098
193	0.1187754635
194	0.1178910245
195	0.1175705759
196	0.1172001386
197	0.116881105
198	0.1163429873
199	0.1160037116
200	0.115583885
201	0.1147042417
202	0.1142417555
203	0.1138932962
204	0.1129727229
205	0.1125600165
206	0.1118192329
207	0.1107377768
208	0.110341234
209	0.1099285827
210	0.1093109427
211	0.1086741247
212	0.1081128755
213	0.1078127718
214	0.1072393919
215	0.1066382892
216	0.1064989453
217	0.1060631224
218	0.1055584172
219	0.1049820335
220	0.1042402786
221	0.1036518421
222	0.1033690057
223	0.1027899963
224	0.1026340252
