iter	Passed	Remaining
0	1	192647
1	2	142118
2	3	123964
3	4	112148
4	5	104605
5	5	99465
6	6	95745
7	7	93427
8	8	91974
9	9	92313
10	10	93652
11	11	92909
12	11	91499
13	12	91232
14	13	90337
15	14	89403
16	15	88586
17	15	88207
18	16	87618
19	17	87532
20	18	87336
21	19	87123
22	20	86979
23	21	89334
24	23	92254
25	24	95721
26	25	95605
27	26	95074
28	27	95246
29	28	96181
30	29	95442
31	30	95186
32	31	94964
33	32	94979
34	33	95627
35	34	96662
36	35	96164
37	37	98769
38	38	98670
39	39	98936
40	41	100281
41	42	100390
42	42	99850
43	43	99678
44	45	100693
45	46	101050
46	47	102067
47	49	102584
48	50	103125
49	52	104177
50	53	104330
51	54	104620
52	55	105067
53	57	105765
54	58	105736
55	59	105321
56	60	105538
57	61	105836
58	62	105578
59	63	105549
60	65	107320
61	66	106990
62	68	107904
63	69	108989
64	70	108807
65	71	108657
66	72	108116
67	73	108346
68	75	109471
69	76	109189
70	77	109363
71	78	109449
72	79	109450
73	81	109510
74	82	110523
75	85	111811
76	85	111461
77	86	111343
78	88	112102
79	89	112130
80	91	112346
81	92	112788
82	93	112677
83	95	113121
84	96	113201
85	97	113634
86	98	113550
87	100	114302
88	101	114074
89	102	113911
90	103	113909
91	104	113655
92	105	113869
93	107	114698
94	108	114580
95	110	115062
96	111	114664
97	112	114275
98	113	114862
99	115	114940
100	116	114927
101	117	114953
102	118	114947
103	119	114769
104	120	114675
105	121	114471
106	122	114235
107	123	114012
108	124	113858
109	125	113653
110	126	113410
111	127	113394
112	129	114124
113	131	115221
114	133	116051
115	135	116458
116	136	116639
117	138	117299
118	139	117430
119	141	117647
120	143	118783
121	146	119829
122	148	120537
123	150	121220
124	152	122100
125	154	122373
126	155	122403
127	157	123047
128	159	123352
129	161	124226
130	162	124260
131	165	125095
132	166	125079
133	168	125524
134	169	125600
135	171	126067
136	173	126205
137	174	126006
138	176	126462
139	177	126669
140	178	126666
141	180	127036
142	181	126767
143	182	126615
144	184	126851
145	185	126664
146	187	127036
147	189	127695
148	190	127639
149	192	128058
150	194	128688
151	195	128416
152	197	128877
153	199	129040
154	200	129072
155	202	129679
156	204	130008
157	205	129805
158	206	129976
159	209	130476
160	210	130649
161	212	131190
162	214	131347
163	216	132028
164	218	132479
165	220	132876
166	222	132757
167	223	132900
168	225	133096
169	226	132886
170	227	132884
171	229	133151
172	231	133558
173	232	133333
174	233	133386
175	235	133404
176	236	133244
177	237	133091
178	238	133107
179	239	132929
180	240	132674
181	241	132619
182	243	132996
183	246	133673
184	247	133642
185	249	133866
186	251	134164
187	252	133877
188	252	133584
189	253	133376
190	255	133319
191	256	133398
192	257	133150
193	259	133555
194	260	133409
195	262	133808
196	264	133821
197	265	133628
198	265	133354
199	266	133071
200	268	133222
201	269	133162
202	270	132990
203	271	132967
204	272	132790
205	273	132534
206	274	132344
207	275	132141
208	276	131947
209	277	131729
210	278	131503
211	278	131322
212	279	131129
213	280	130882
214	281	130639
215	282	130456
216	283	130278
217	284	130132
218	285	130163
219	286	129955
220	287	129745
221	288	129509
222	288	129276
223	289	129134
224	290	128955
