iter	RMSE
0	0.8171738078
1	0.8089930857
2	0.8020707238
3	0.7956648624
4	0.7892996356
5	0.7838086853
6	0.7786146714
7	0.7748112649
8	0.770219839
9	0.7663461686
10	0.7625331901
11	0.7592736766
12	0.7561563279
13	0.7532303649
14	0.7503876144
15	0.74775947
16	0.7456728702
17	0.7431293049
18	0.7407984719
19	0.7380408616
20	0.7356193151
21	0.733486529
22	0.7315242944
23	0.7294597574
24	0.7275375464
25	0.7255094138
26	0.7237023948
27	0.7217540395
28	0.7197749643
29	0.7185053136
30	0.7174903657
31	0.7158923281
32	0.7150133775
33	0.7137372465
34	0.7123989288
35	0.7110790075
36	0.7098635861
37	0.7088409275
38	0.7080167134
39	0.7072444768
40	0.7061648878
41	0.7053647338
42	0.7046592543
43	0.7038461203
44	0.7028320389
45	0.7022115177
46	0.7014523242
47	0.7002841827
48	0.6994327299
49	0.6986847656
50	0.697904467
51	0.6971791496
52	0.6966591489
53	0.6960745621
54	0.6953195313
55	0.6943575316
56	0.6937223487
57	0.6929464838
58	0.6922743515
59	0.6916259538
60	0.690897881
61	0.6903087835
62	0.6897604802
63	0.6890106159
64	0.6883076505
65	0.6876534543
66	0.6870323076
67	0.6864895895
68	0.6858211244
69	0.6849917602
70	0.6843745477
71	0.6838086051
72	0.6832523731
73	0.682777622
74	0.6823403046
75	0.6817473029
76	0.681273703
77	0.6807853638
78	0.680317443
79	0.6800496619
80	0.6795985239
81	0.6789782081
82	0.6787471493
83	0.6783185043
84	0.6778629835
85	0.6775030086
86	0.677054719
87	0.676688791
88	0.6763688145
89	0.6758802253
90	0.6753773518
91	0.6749683222
92	0.6745455987
93	0.674042873
94	0.6737030583
95	0.6734611412
96	0.6730410693
97	0.672609175
98	0.6723155888
99	0.6720022819
100	0.6716246396
101	0.6712963374
102	0.6709153204
103	0.67049342
104	0.6700282524
105	0.6697368862
106	0.669513425
107	0.668977576
108	0.668584973
109	0.6682807624
110	0.6680211984
111	0.6675567314
112	0.6672940546
113	0.6670492853
114	0.6667236542
115	0.6662627463
116	0.6660385473
117	0.6658741082
118	0.6656702783
119	0.6652966045
120	0.6650880831
121	0.6647279759
122	0.6645084463
123	0.6640920655
124	0.6638505303
125	0.6635653432
126	0.6633538115
127	0.6629866588
128	0.6626677438
129	0.6622618693
130	0.662022474
131	0.6615478607
132	0.6612493629
133	0.6610162393
134	0.6607050968
135	0.6605350728
136	0.6602563304
137	0.6599512825
138	0.6596162927
139	0.6594378299
140	0.6591906529
141	0.6588743644
142	0.6586567956
143	0.6583568323
144	0.6580304145
145	0.6577600833
146	0.6574869158
147	0.6572937254
148	0.6570515823
149	0.6567609466
150	0.6563939786
151	0.6561422857
152	0.6556822705
153	0.6551466567
154	0.6549404813
155	0.6548288627
156	0.6546109246
157	0.6543095996
158	0.6540397441
159	0.6538025056
160	0.6535533026
161	0.6533293351
162	0.6531365187
163	0.6528950578
164	0.6527808526
165	0.6525372036
166	0.6522255745
167	0.6519455482
168	0.6516044155
169	0.6512638214
170	0.6510911082
171	0.6507115005
172	0.6503722184
173	0.6501934235
174	0.6499961759
175	0.6496933315
176	0.6493057884
177	0.6490111989
178	0.6487644507
179	0.6484656522
180	0.6480161335
181	0.6476207906
182	0.6472531918
183	0.6470012249
184	0.6467523001
185	0.6465013455
186	0.6461780686
187	0.6458026268
188	0.645595252
189	0.6452478923
190	0.6448480449
191	0.6446050862
192	0.6443029888
193	0.6439838341
194	0.6436648314
195	0.6434413531
196	0.6432808777
197	0.6429644112
198	0.642704609
199	0.6425313818
200	0.6421676703
201	0.6419187301
202	0.6415758407
203	0.6411868069
204	0.6408547248
205	0.6404035413
206	0.6402923499
207	0.6401726672
208	0.6398805423
209	0.6394803992
210	0.639393435
211	0.6391443183
212	0.6389311277
213	0.6387038119
214	0.6384410793
215	0.6381505277
216	0.6378082862
217	0.6375262723
218	0.6373531195
219	0.6370171121
220	0.6367117189
221	0.6364377844
222	0.6360737867
223	0.6358439068
224	0.6355369834
225	0.6351700365
226	0.6349663754
227	0.6347403684
228	0.6345839582
229	0.6343053987
230	0.6339988502
231	0.6337299965
232	0.6334164935
233	0.6330506357
234	0.6326389732
235	0.6323482813
236	0.6322159004
237	0.6318609082
238	0.6315051829
239	0.6311937279
240	0.6309109068
241	0.6306796947
242	0.6304001119
243	0.6300847972
244	0.6297379761
245	0.6294691027
246	0.6292529935
247	0.6289090848
248	0.6284570085
249	0.6281559082
250	0.6279375471
251	0.6276143988
252	0.6272135417
253	0.6268543986
254	0.6266256276
255	0.6263168977
256	0.6260723306
257	0.6257143139
258	0.62545009
259	0.6252950167
260	0.6250183283
261	0.6247085763
262	0.6243558051
263	0.6240912643
264	0.623809579
265	0.6235141837
266	0.623215703
267	0.6229887419
268	0.6226429752
269	0.6223233823
270	0.6220501593
271	0.6217821647
272	0.6215046897
273	0.6212218967
274	0.6209996265
275	0.6208440939
276	0.620502477
277	0.6202331715
278	0.6200113024
279	0.6197521178
280	0.6196040358
281	0.6192026816
282	0.6189814059
283	0.6186768303
284	0.6183969158
285	0.6181481311
286	0.6178806408
287	0.6175622758
288	0.6172072315
289	0.6169472951
290	0.616814627
291	0.6164814832
292	0.6162609761
293	0.6161365634
294	0.61579033
295	0.6154564938
296	0.6152032467
297	0.6149028492
298	0.6145967086
299	0.6141217822
300	0.613875718
301	0.613493112
302	0.613298102
303	0.6129898979
304	0.6127504165
305	0.6125113153
306	0.6122859353
307	0.6120973413
308	0.6118378931
309	0.6116033206
310	0.6114009798
311	0.6111658222
312	0.610914443
313	0.6106428512
314	0.6103792609
315	0.6102162911
316	0.6099335127
317	0.6096070812
318	0.6093990794
319	0.6090931113
320	0.6088133634
321	0.6084941542
322	0.6081452501
323	0.6079693325
324	0.6077376263
325	0.6075411238
326	0.6073375888
327	0.6070981603
328	0.6068002513
329	0.6066039495
330	0.6063337369
331	0.6060210187
332	0.6057575624
333	0.605473983
334	0.6051303249
335	0.6049064942
336	0.6046098734
337	0.6044166922
338	0.6042160204
339	0.6039244921
340	0.603657876
341	0.6035428759
342	0.6032813358
343	0.6030951936
344	0.6028840995
345	0.6025693606
346	0.602409614
347	0.602126629
348	0.6018535726
349	0.6016647717
350	0.6013689752
351	0.6011195322
352	0.6006478053
353	0.6002469893
354	0.6000749613
355	0.599828954
356	0.5995675126
357	0.599272843
358	0.5990942401
359	0.5988754323
360	0.5986388855
361	0.5982394522
362	0.5980931769
363	0.597864226
364	0.5977371248
365	0.5974616595
366	0.5972646856
367	0.5969762212
368	0.5967816045
369	0.5965973284
370	0.5963591915
371	0.596163544
372	0.5959293607
373	0.5955747155
374	0.5952756168
375	0.5950108596
376	0.5948399776
377	0.5946365881
378	0.5945087476
379	0.5942427008
380	0.5940207848
381	0.5937269997
382	0.5934304005
383	0.5931738058
384	0.5929550297
385	0.5926320271
386	0.5924243062
387	0.5921183322
388	0.5917768697
389	0.591507516
390	0.5911716169
391	0.5909513499
392	0.5907626725
393	0.5905609539
394	0.5902846347
395	0.5899633308
396	0.5897271926
397	0.5895196852
398	0.5893519897
399	0.58921708
400	0.5890448797
401	0.5887117698
402	0.5884471003
403	0.5882161708
404	0.5880136635
405	0.5877918555
406	0.5875046678
407	0.5872625929
408	0.5870576743
409	0.586760801
410	0.586612791
411	0.5864014011
412	0.5861493331
413	0.5859691654
414	0.5857510976
415	0.5854488796
416	0.5852497917
417	0.5850518874
418	0.5847613264
419	0.5843852805
420	0.5841168925
421	0.5839667005
422	0.5838635812
423	0.583587936
424	0.5833223847
425	0.5831883724
426	0.582875815
427	0.5826525949
428	0.5823325182
429	0.5820606056
430	0.5819952635
431	0.5817600264
432	0.5816333576
433	0.5814760632
434	0.5813273363
435	0.5811626732
436	0.5809423427
437	0.5807665567
438	0.5806468845
439	0.5804425044
440	0.5802876379
441	0.580054079
442	0.5798121077
443	0.5794593451
444	0.579181214
445	0.578996991
446	0.5787163229
447	0.5785650321
448	0.5783443168
449	0.5781286204
450	0.5779140197
451	0.5776995009
452	0.577521485
453	0.5773345428
454	0.5771527401
455	0.576897653
456	0.5767448508
457	0.576480098
458	0.5762683493
459	0.5760252773
460	0.5758162545
461	0.5756165043
462	0.5753387986
463	0.5750353011
464	0.5748702083
465	0.5747194632
466	0.5744664971
467	0.574293593
468	0.5740809183
469	0.5738800317
470	0.5737023042
471	0.5735322238
472	0.573314591
473	0.5731049551
474	0.5729169692
475	0.5726058736
476	0.5723779302
477	0.5721382566
478	0.5719400437
479	0.5717605718
480	0.5714843451
481	0.571235131
482	0.5710354471
483	0.5708849315
484	0.5706584075
485	0.570426917
486	0.5702864088
487	0.5700868728
488	0.5698068017
489	0.5694555274
490	0.5692820684
491	0.569077081
492	0.5687806912
493	0.5686478326
494	0.5684491903
495	0.568214517
496	0.567976874
497	0.567834759
498	0.5676131078
499	0.5672623025
500	0.5670846553
501	0.5668691067
502	0.5666548184
503	0.5664581021
504	0.5662159522
505	0.5659134775
506	0.5656909351
